2017-01-10 16:50:27.879792
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
IP : 192.168.1.36Is  available
IP : 192.168.1.1Is  available
IP : 192.168.1.255Is  available
IP : 192.168.56.1Is  available
IP : 192.168.56.254Is  available
IP : 192.168.56.255Is  available
IP : 192.168.226.1Is  available
IP : 192.168.226.254Is  available
IP : 192.168.226.255Is  available
******************************
2017-01-10 16:50:39.317001
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
IP : 192.168.1.1 Is available
IP : 192.168.1.2 Is not available
IP : 192.168.1.3 Is not available
IP : 192.168.1.4 Is not available
IP : 192.168.1.5 Is not available
IP : 192.168.1.6 Is not available
IP : 192.168.1.7 Is not available
IP : 192.168.1.8 Is not available
IP : 192.168.1.9 Is not available
IP : 192.168.1.10 Is not available
IP : 192.168.1.11 Is not available
IP : 192.168.1.12 Is not available
IP : 192.168.1.13 Is not available
IP : 192.168.1.14 Is not available
IP : 192.168.1.15 Is not available
IP : 192.168.1.16 Is not available
IP : 192.168.1.17 Is not available
IP : 192.168.1.18 Is not available
IP : 192.168.1.19 Is not available
IP : 192.168.1.20 Is not available
IP : 192.168.1.21 Is not available
IP : 192.168.1.22 Is not available
IP : 192.168.1.23 Is not available
IP : 192.168.1.24 Is not available
******************************
